
(base) C:\Users\User>conda activate myenv

(myenv) C:\Users\User>python game-model-showdown.py
`low_cpu_mem_usage` was None, now default to True since model is quantized.
Original TinyLlama 0035. Challenger LLM 0334. Games Played 0374. Challenger started.
Original TinyLlama 0035. Challenger LLM 0335. Games Played 0375. Original started.
Original TinyLlama 0035. Challenger LLM 0336. Games Played 0376. Challenger started.
Original TinyLlama 0035. Challenger LLM 0337. Games Played 0377. Original started.
Original TinyLlama 0035. Challenger LLM 0338. Games Played 0378. Challenger started.
Original TinyLlama 0035. Challenger LLM 0339. Games Played 0379. Original started.
Original TinyLlama 0035. Challenger LLM 0340. Games Played 0380. Challenger started.
Original TinyLlama 0035. Challenger LLM 0341. Games Played 0381. Original started.
Original TinyLlama 0035. Challenger LLM 0342. Games Played 0382. Challenger started.
Original TinyLlama 0035. Challenger LLM 0343. Games Played 0383. Original started.
Original TinyLlama 0035. Challenger LLM 0344. Games Played 0384. Challenger started.
Original TinyLlama 0035. Challenger LLM 0345. Games Played 0385. Original started.
Original TinyLlama 0035. Challenger LLM 0346. Games Played 0386. Challenger started.
Original TinyLlama 0035. Challenger LLM 0347. Games Played 0387. Original started.
Original TinyLlama 0035. Challenger LLM 0348. Games Played 0388. Challenger started.
Original TinyLlama 0035. Challenger LLM 0349. Games Played 0389. Original started.
Original TinyLlama 0035. Challenger LLM 0350. Games Played 0390. Challenger started.
Original TinyLlama 0035. Challenger LLM 0351. Games Played 0391. Original started.
Original TinyLlama 0035. Challenger LLM 0352. Games Played 0392. Challenger started.
Original TinyLlama 0035. Challenger LLM 0353. Games Played 0393. Original started.
Original TinyLlama 0035. Challenger LLM 0354. Games Played 0394. Challenger started.
Original TinyLlama 0035. Challenger LLM 0355. Games Played 0395. Original started.
Original TinyLlama 0036. Challenger LLM 0355. Games Played 0396. Challenger started.
Original TinyLlama 0036. Challenger LLM 0356. Games Played 0397. Original started.
Original TinyLlama 0036. Challenger LLM 0357. Games Played 0398. Challenger started.
Original TinyLlama 0036. Challenger LLM 0358. Games Played 0399. Original started.
Original TinyLlama 0036. Challenger LLM 0359. Games Played 0400. Challenger started.
Original TinyLlama 0036. Challenger LLM 0360. Games Played 0401. Original started.
Original TinyLlama 0036. Challenger LLM 0361. Games Played 0402. Challenger started.
Original TinyLlama 0036. Challenger LLM 0362. Games Played 0403. Original started.
Original TinyLlama 0036. Challenger LLM 0363. Games Played 0404. Challenger started.
Original TinyLlama 0037. Challenger LLM 0363. Games Played 0405. Original started.
Original TinyLlama 0037. Challenger LLM 0364. Games Played 0406. Challenger started.
Original TinyLlama 0037. Challenger LLM 0365. Games Played 0407. Original started.
Original TinyLlama 0037. Challenger LLM 0366. Games Played 0408. Challenger started.
Original TinyLlama 0037. Challenger LLM 0367. Games Played 0409. Original started.
Original TinyLlama 0037. Challenger LLM 0368. Games Played 0410. Challenger started.
Original TinyLlama 0037. Challenger LLM 0369. Games Played 0411. Original started.
Original TinyLlama 0037. Challenger LLM 0370. Games Played 0412. Challenger started.
Original TinyLlama 0037. Challenger LLM 0371. Games Played 0413. Original started.
Original TinyLlama 0037. Challenger LLM 0372. Games Played 0414. Challenger started.
Original TinyLlama 0037. Challenger LLM 0373. Games Played 0415. Original started.
Original TinyLlama 0037. Challenger LLM 0374. Games Played 0416. Challenger started.
Original TinyLlama 0037. Challenger LLM 0375. Games Played 0417. Original started.
Original TinyLlama 0037. Challenger LLM 0376. Games Played 0418. Challenger started.
Original TinyLlama 0037. Challenger LLM 0377. Games Played 0419. Original started.
Original TinyLlama 0037. Challenger LLM 0378. Games Played 0420. Challenger started.
Original TinyLlama 0037. Challenger LLM 0379. Games Played 0421. Original started.
Original TinyLlama 0037. Challenger LLM 0380. Games Played 0422. Challenger started.
Original TinyLlama 0037. Challenger LLM 0381. Games Played 0423. Original started.
Original TinyLlama 0037. Challenger LLM 0382. Games Played 0424. Challenger started.
Original TinyLlama 0037. Challenger LLM 0383. Games Played 0425. Original started.
Original TinyLlama 0037. Challenger LLM 0384. Games Played 0426. Challenger started.
Original TinyLlama 0037. Challenger LLM 0385. Games Played 0427. Original started.
Original TinyLlama 0037. Challenger LLM 0386. Games Played 0428. Challenger started.
Original TinyLlama 0037. Challenger LLM 0387. Games Played 0429. Original started.
Original TinyLlama 0037. Challenger LLM 0388. Games Played 0430. Challenger started.
Original TinyLlama 0037. Challenger LLM 0389. Games Played 0431. Original started.
Original TinyLlama 0037. Challenger LLM 0390. Games Played 0432. Challenger started.
Original TinyLlama 0037. Challenger LLM 0391. Games Played 0433. Original started.
Original TinyLlama 0037. Challenger LLM 0392. Games Played 0434. Challenger started.
Original TinyLlama 0037. Challenger LLM 0393. Games Played 0435. Original started.
Original TinyLlama 0037. Challenger LLM 0394. Games Played 0436. Challenger started.
Original TinyLlama 0037. Challenger LLM 0395. Games Played 0437. Original started.
Original TinyLlama 0037. Challenger LLM 0395. Games Played 0438. Challenger started.
Original TinyLlama 0037. Challenger LLM 0396. Games Played 0439. Original started.
Original TinyLlama 0037. Challenger LLM 0397. Games Played 0440. Challenger started.
Original TinyLlama 0037. Challenger LLM 0398. Games Played 0441. Original started.
Original TinyLlama 0037. Challenger LLM 0399. Games Played 0442. Challenger started.
Original TinyLlama 0037. Challenger LLM 0400. Games Played 0443. Original started.
Original TinyLlama 0037. Challenger LLM 0401. Games Played 0444. Challenger started.
Original TinyLlama 0037. Challenger LLM 0402. Games Played 0445. Original started.
Original TinyLlama 0037. Challenger LLM 0403. Games Played 0446. Challenger started.
Original TinyLlama 0038. Challenger LLM 0403. Games Played 0447. Original started.
Original TinyLlama 0039. Challenger LLM 0403. Games Played 0448. Challenger started.
Original TinyLlama 0039. Challenger LLM 0404. Games Played 0449. Original started.
Original TinyLlama 0039. Challenger LLM 0405. Games Played 0450. Challenger started.
Original TinyLlama 0039. Challenger LLM 0406. Games Played 0451. Original started.
Original TinyLlama 0039. Challenger LLM 0407. Games Played 0452. Challenger started.
Original TinyLlama 0039. Challenger LLM 0408. Games Played 0453. Original started.
Original TinyLlama 0039. Challenger LLM 0409. Games Played 0454. Challenger started.
Original TinyLlama 0039. Challenger LLM 0410. Games Played 0455. Original started.
Original TinyLlama 0039. Challenger LLM 0411. Games Played 0456. Challenger started.
Original TinyLlama 0039. Challenger LLM 0412. Games Played 0457. Original started.
Original TinyLlama 0039. Challenger LLM 0413. Games Played 0458. Challenger started.
Original TinyLlama 0040. Challenger LLM 0413. Games Played 0459. Original started.
Original TinyLlama 0040. Challenger LLM 0414. Games Played 0460. Challenger started.
Original TinyLlama 0040. Challenger LLM 0415. Games Played 0461. Original started.
Original TinyLlama 0040. Challenger LLM 0416. Games Played 0462. Challenger started.
Original TinyLlama 0040. Challenger LLM 0416. Games Played 0463. Original started.
Original TinyLlama 0040. Challenger LLM 0417. Games Played 0464. Challenger started.
Original TinyLlama 0040. Challenger LLM 0417. Games Played 0465. Original started.
Original TinyLlama 0040. Challenger LLM 0418. Games Played 0466. Challenger started.
Original TinyLlama 0040. Challenger LLM 0419. Games Played 0467. Original started.
Original TinyLlama 0040. Challenger LLM 0420. Games Played 0468. Challenger started.
Original TinyLlama 0040. Challenger LLM 0421. Games Played 0469. Original started.
Original TinyLlama 0041. Challenger LLM 0421. Games Played 0470. Challenger started.
Original TinyLlama 0041. Challenger LLM 0422. Games Played 0471. Original started.
Original TinyLlama 0041. Challenger LLM 0423. Games Played 0472. Challenger started.
Original TinyLlama 0041. Challenger LLM 0424. Games Played 0473. Original started.
Original TinyLlama 0041. Challenger LLM 0425. Games Played 0474. Challenger started.
Original TinyLlama 0041. Challenger LLM 0425. Games Played 0475. Original started.
Original TinyLlama 0041. Challenger LLM 0426. Games Played 0476. Challenger started.
Original TinyLlama 0041. Challenger LLM 0427. Games Played 0477. Original started.
Original TinyLlama 0041. Challenger LLM 0428. Games Played 0478. Challenger started.
Original TinyLlama 0041. Challenger LLM 0429. Games Played 0479. Original started.
Original TinyLlama 0041. Challenger LLM 0430. Games Played 0480. Challenger started.
Original TinyLlama 0041. Challenger LLM 0431. Games Played 0481. Original started.
Original TinyLlama 0042. Challenger LLM 0431. Games Played 0482. Challenger started.
Original TinyLlama 0042. Challenger LLM 0432. Games Played 0483. Original started.
Original TinyLlama 0042. Challenger LLM 0433. Games Played 0484. Challenger started.
Original TinyLlama 0042. Challenger LLM 0434. Games Played 0485. Original started.
Original TinyLlama 0042. Challenger LLM 0435. Games Played 0486. Challenger started.
Original TinyLlama 0042. Challenger LLM 0436. Games Played 0487. Original started.
Original TinyLlama 0042. Challenger LLM 0437. Games Played 0488. Challenger started.
Original TinyLlama 0043. Challenger LLM 0437. Games Played 0489. Original started.
Original TinyLlama 0043. Challenger LLM 0438. Games Played 0490. Challenger started.
Original TinyLlama 0043. Challenger LLM 0439. Games Played 0491. Original started.
Original TinyLlama 0043. Challenger LLM 0440. Games Played 0492. Challenger started.
Original TinyLlama 0043. Challenger LLM 0441. Games Played 0493. Original started.
Original TinyLlama 0043. Challenger LLM 0442. Games Played 0494. Challenger started.
Original TinyLlama 0043. Challenger LLM 0443. Games Played 0495. Original started.
Original TinyLlama 0043. Challenger LLM 0444. Games Played 0496. Challenger started.
Original TinyLlama 0044. Challenger LLM 0444. Games Played 0497. Original started.
Original TinyLlama 0044. Challenger LLM 0445. Games Played 0498. Challenger started.
Original TinyLlama 0044. Challenger LLM 0446. Games Played 0499. Original started.
Original TinyLlama 0044. Challenger LLM 0447. Games Played 0500. Challenger started.

[Author's note] Run was ended at ~7:07am, 3 March 2025
